fold,test_record,accuracy,precision_pvc,recall_pvc,f1_pvc,n_test_samples,normal_count,pvc_count
1,105,0.9727308141799766,0.14634146341463414,0.14634146341463414,0.14634146341463414,2567,2526,41
2,106,0.9442525900345338,0.9975550122249389,0.7846153846153846,0.8783638320775027,2027,1507,520
3,114,0.8620504562533549,0.14333333333333334,1.0,0.25072886297376096,1863,1820,43
4,116,0.9979253112033195,0.9727272727272728,0.981651376146789,0.9771689497716894,2410,2301,109
5,119,1.0,1.0,1.0,1.0,1987,1543,444
6,200,0.8761682242990654,0.7296564195298373,0.9769975786924939,0.8354037267080745,2568,1742,826
7,201,0.9994514536478333,1.0,0.9949494949494949,0.9974683544303797,1823,1625,198
8,203,0.437941473259334,0.20575539568345325,0.9662162162162162,0.33926453143534996,2973,2529,444
9,205,1.0,1.0,1.0,1.0,2642,2571,71
10,208,0.9957314707023671,0.9939577039274925,0.9949596774193549,0.9944584382871536,2577,1585,992
11,210,0.9957934990439771,0.9893048128342246,0.9536082474226805,0.9711286089238845,2615,2421,194
12,213,0.9716783216783217,1.0,0.6318181818181818,0.7743732590529248,2860,2640,220
13,215,0.5671330753200358,0.022928994082840236,0.18902439024390244,0.040897097625329816,3359,3195,164
14,217,0.9950738916256158,1.0,0.9876543209876543,0.9937888198757764,406,244,162
15,219,0.9967381174277726,0.9523809523809523,0.9375,0.9448818897637795,2146,2082,64
16,221,0.99958796868562,1.0,0.9974747474747475,0.9987357774968394,2427,2031,396
17,223,0.9484412470023981,0.8963133640552995,0.8224101479915433,0.8577728776185226,2502,2029,473
18,228,0.9824390243902439,0.9909638554216867,0.9088397790055248,0.9481268011527377,2050,1688,362
19,233,0.9986923831317424,0.9963942307692307,0.9987951807228915,0.9975932611311673,3059,2229,830
